Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Exploring the differential experience of breast cancer treatment-related symptoms: a cluster analytic approach,"Gwede, C. K.; Small, B. J.; Munster, P. N.; Andrykowski, M. A.; Jacobsen, P. B.","INTRODUCTION: Cancer patients experience multiple concurrent symptoms. This exploratory analysis assessed symptom burden among patients undergoing chemotherapy for breast cancer to identify distinct subgroups of patients who experience differential symptom burden and assessed whether the patient subgroups were associated with deleterious quality of life (QOL) outcomes. MATERIALS AND METHODS: Women (N = 133) with stage I and II breast cancer undergoing adjuvant chemotherapy after primary surgery were evaluated at baseline and at the end of chemotherapy using the Memorial Symptom Assessment Scale (MSAS) and the SF-36 QOL questionnaire. Post treatment MSAS symptoms were included in hierarchical cluster analysis. Two patient subgroups were identified that corresponded to a high-symptom prevalence group and a low-symptom group. RESULTS AND DISCUSSION: No marked, statistically significant differences were found between groups on demographic, symptoms, QOL, or treatment variables at baseline. Patients in the high-symptom cluster were more likely to have stage I disease (p < 0.05). The two groups of patients showed significant differences in end-of-treatment symptoms and QOL scores (p < 0.05). The high-symptom burden group was more likely to report greater symptom prevalence and poorer QOL. CONCLUSIONS: Future research needs to examine why these differences occur despite similarities in treatment and how symptom burden can be reduced for the high-symptom prevalence group.",2008,Aug,Support Care Cancer,16,8,925-933,18043948,10.1007/s00520-007-0364-2,,#2951,Gwede 2008,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Assessing Antidepressants Using Intelligent Data Monitoring and Mining of Online Fora,"Akay, A.; Dragomir, A.; Erlandsson, B. E.","Depression is a global health concern. Social networks allow the affected population to share their experiences. These experiences, when mined, extracted, and analyzed, can be converted into either warnings to recall drugs (dangerous side effects), or service improvement (interventions, treatment options) based on observations derived from user behavior in depression-related social networks. Our aim was to develop a weighted network model to represent user activity on social health networks. This enabled us to accurately represent user interactions by relying on the data's semantic content. Our three-step method uses the weighted network model to represent user's activity, and network clustering and module analysis to characterize user interactions and extract further knowledge from user's posts. The network's topological properties reflect user activity such as posts' general topic as well as timing, while weighted edges reflect the posts semantic content and similarities among posts. The result, a synthesis from word data frequency, statistical analysis of module content, and the modeled health network's properties, has allowed us to gain insight into consumer sentiment of antidepressants. This approach will allow all parties to participate in improving future health solutions of patients suffering from depression.",2016,,IEEE Journal of Biomedical and Health Informatics,20,4,977-986,,10.1109/JBHI.2016.2539972,,#567,Akay 2016,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Comparing a knowledge-driven approach to a supervised machine learning approach in large-scale extraction of drug-side effect relationships from free-text biomedical literature,"Xu, R.; Wang, Q.","BACKGROUND: Systems approaches to studying drug-side-effect (drug-SE) associations are emerging as an active research area for both drug target discovery and drug repositioning. However, a comprehensive drug-SE association knowledge base does not exist. In this study, we present a novel knowledge-driven (KD) approach to effectively extract a large number of drug-SE pairs from published biomedical literature. DATA AND METHODS: For the text corpus, we used 21,354,075 MEDLINE records (119,085,682 sentences). First, we used known drug-SE associations derived from FDA drug labels as prior knowledge to automatically find SE-related sentences and abstracts. We then extracted a total of 49,575 drug-SE pairs from MEDLINE sentences and 180,454 pairs from abstracts. RESULTS: On average, the KD approach has achieved a precision of 0.335, a recall of 0.509, and an F1 of 0.392, which is significantly better than a SVM-based machine learning approach (precision: 0.135, recall: 0.900, F1: 0.233) with a 73.0% increase in F1 score. Through integrative analysis, we demonstrate that the higher-level phenotypic drug-SE relationships reflects lower-level genetic, genomic, and chemical drug mechanisms. In addition, we show that the extracted drug-SE pairs can be directly used in drug repositioning. CONCLUSION: In summary, we automatically constructed a large-scale higher-level drug phenotype relationship knowledge, which can have great potential in computational drug discovery.",2015,,BMC Bioinformatics,16 Suppl 5,Suppl 5,S6,25860223,10.1186/1471-2105-16-s5-s6,,#1289,Xu 2015,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Determining drug efficacy by extracting opinions from social network data using mahout,"Akhare, D. G.; Saravanan, R.","Social media has become a boon in the recent times due to its reach and ease of access. The millions of tweets received every year could be subjected to sentiment analysis. The current Analytics tools and models used that are available in the market are not sufficient to manage Bigdata. Therefore, there is a need to use a Cloud storage for such type of applications. So we have utilized Hadoop for intelligent analysis and storage of big data. These tweets also contains drug related information and their adverse reactions. In the proposed system we have used this information as source and predicted a best drug for related disease. User give their opinion related to drug. These opinions can be analyzed and used to predict a better drug for associated disease. Disease name is taken as an input. Tweets containing the keyword are fetched with the users latitude and longitude. These latitude and longitudes are then used to show user the location of nearby hospital and map is also shown. Preprocessing and SVM classification is applied on the data followed by polarity prediction which results in recommendation of the best drug.",2017,,"Research Journal of Pharmaceutical, Biological and Chemical Sciences",8,3,2308-2315,,,,#2126,Akhare 2017,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Adverse Drug Reaction Discovery Using a Tumor-Biomarker Knowledge Graph,"Wang, M.; Ma, X.; Si, J.; Tang, H.; Wang, H.; Li, T.; Ouyang, W.; Gong, L.; Tang, Y.; He, X.; Huang, W.; Liu, X.","Adverse drug reactions (ADRs) are a major public health concern, and early detection is crucial for drug development and patient safety. Together with the increasing availability of large-scale literature data, machine learning has the potential to predict unknown ADRs from current knowledge. By the machine learning methods, we constructed a Tumor-Biomarker Knowledge Graph (TBKG) which contains four types of node: Tumor, Biomarker, Drug, and ADR using biomedical literatures. Based on this knowledge graph, we not only discovered potential ADRs of antitumor drugs but also provided explanations. Experiments on real-world data show that our model can achieve 0.81 accuracy of three cross-validation and the ADRs discovery of Osimertinib was chosen for the clinical validation. Calculated ADRs of Osimertinib by our model consisted of the known ADRs which were in line with the official manual and some unreported rare ADRs in clinical cases. Results also showed that our model outperformed traditional co-occurrence methods. Moreover, each calculated ADRs were attached with the corresponding paths of ""tumor-biomarker-drug"" in the knowledge graph which could help to obtain in-depth insights into the underlying mechanisms. In conclusion, the tumor-biomarker knowledge-graph based approach is an explainable method for potential ADRs discovery based on biomarkers and might be valuable to the community working on the emerging field of biomedical literature mining and provide impetus for the mechanism research of ADRs.",2020,,Front Genet,11,,625659,33584816,10.3389/fgene.2020.625659,,#192,Wang 2020,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Investigating ADR mechanisms with Explainable AI: a feasibility study with knowledge graph mining,"Bresso, E.; Monnin, P.; Bousquet, C.; Calvier, F. E.; Ndiaye, N. C.; Petitpain, N.; Smaïl-Tabbone, M.; Coulet, A.","BACKGROUND: Adverse drug reactions (ADRs) are statistically characterized within randomized clinical trials and postmarketing pharmacovigilance, but their molecular mechanism remains unknown in most cases. This is true even for hepatic or skin toxicities, which are classically monitored during drug design. Aside from clinical trials, many elements of knowledge about drug ingredients are available in open-access knowledge graphs, such as their properties, interactions, or involvements in pathways. In addition, drug classifications that label drugs as either causative or not for several ADRs, have been established. METHODS: We propose in this paper to mine knowledge graphs for identifying biomolecular features that may enable automatically reproducing expert classifications that distinguish drugs causative or not for a given type of ADR. In an Explainable AI perspective, we explore simple classification techniques such as Decision Trees and Classification Rules because they provide human-readable models, which explain the classification itself, but may also provide elements of explanation for molecular mechanisms behind ADRs. In summary, (1) we mine a knowledge graph for features; (2) we train classifiers at distinguishing, on the basis of extracted features, drugs associated or not with two commonly monitored ADRs: drug-induced liver injuries (DILI) and severe cutaneous adverse reactions (SCAR); (3) we isolate features that are both efficient in reproducing expert classifications and interpretable by experts (i.e., Gene Ontology terms, drug targets, or pathway names); and (4) we manually evaluate in a mini-study how they may be explanatory. RESULTS: Extracted features reproduce with a good fidelity classifications of drugs causative or not for DILI and SCAR (Accuracy = 0.74 and 0.81, respectively). Experts fully agreed that 73% and 38% of the most discriminative features are possibly explanatory for DILI and SCAR, respectively; and partially agreed (2/3) for 90% and 77% of them. CONCLUSION: Knowledge graphs provide sufficiently diverse features to enable simple and explainable models to distinguish between drugs that are causative or not for ADRs. In addition to explaining classifications, most discriminative features appear to be good candidates for investigating ADR mechanisms further.",2021,May 26,BMC Med Inform Decis Mak,21,1,171,34039343,10.1186/s12911-021-01518-6,,#4002,Bresso 2021,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
"Machine learning-based prediction of drug-drug interactions by integrating drug phenotypic, therapeutic, chemical, and genomic properties","Cheng, F.; Zhao, Z.","OBJECTIVE: Drug-drug interactions (DDIs) are an important consideration in both drug development and clinical application, especially for co-administered medications. While it is necessary to identify all possible DDIs during clinical trials, DDIs are frequently reported after the drugs are approved for clinical use, and they are a common cause of adverse drug reactions (ADR) and increasing healthcare costs. Computational prediction may assist in identifying potential DDIs during clinical trials. METHODS: Here we propose a heterogeneous network-assisted inference (HNAI) framework to assist with the prediction of DDIs. First, we constructed a comprehensive DDI network that contained 6946 unique DDI pairs connecting 721 approved drugs based on DrugBank data. Next, we calculated drug-drug pair similarities using four features: phenotypic similarity based on a comprehensive drug-ADR network, therapeutic similarity based on the drug Anatomical Therapeutic Chemical classification system, chemical structural similarity from SMILES data, and genomic similarity based on a large drug-target interaction network built using the DrugBank and Therapeutic Target Database. Finally, we applied five predictive models in the HNAI framework: naive Bayes, decision tree, k-nearest neighbor, logistic regression, and support vector machine, respectively. RESULTS: The area under the receiver operating characteristic curve of the HNAI models is 0.67 as evaluated using fivefold cross-validation. Using antipsychotic drugs as an example, several HNAI-predicted DDIs that involve weight gain and cytochrome P450 inhibition were supported by literature resources. CONCLUSIONS: Through machine learning-based integration of drug phenotypic, therapeutic, structural, and genomic similarities, we demonstrated that HNAI is promising for uncovering DDIs in drug development and postmarketing surveillance.",2014,Oct,J Am Med Inform Assoc,21,e2,e278-286,24644270,10.1136/amiajnl-2013-002512,,#4356,Cheng 2014,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Information Visualization Platform for Postmarket Surveillance Decision Support,"Spiker, J.; Kreimeyer, K.; Dang, O.; Boxwell, D.; Chan, V.; Cheng, C.; Gish, P.; Lardieri, A.; Wu, E.; De, S.; Naidoo, J.; Lehmann, H.; Rosner, G. L.; Ball, R.; Botsis, T.","INTRODUCTION: The US FDA receives more than 2 million postmarket reports each year. Safety Evaluators (SEs) review these reports, as well as external information, to identify potential safety signals. With the increasing number of reports and the size of external information, more efficient solutions for data integration and decision making are needed. OBJECTIVES: The aim of this study was to develop an interactive decision support application for drug safety surveillance that integrates and visualizes information from postmarket reports, product labels, and biomedical literature. METHODS: We conducted multiple meetings with a group of seven SEs at the FDA to collect the requirements for the Information Visualization Platform (InfoViP). Using infographic design principles, we implemented the InfoViP prototype version as a modern web application using the integrated information collected from the FDA Adverse Event Reporting System, the DailyMed repository, and PubMed. The same group of SEs evaluated the InfoViP prototype functionalities using a simple evaluation form and provided input for potential enhancements. RESULTS: The SEs described their workflows and overall expectations around the automation of time-consuming tasks, including the access to the visualization of external information. We developed a set of wireframes, shared them with the SEs, and finalized the InfoViP design. The InfoViP prototype architecture relied on a javascript and a python-based framework, as well as an existing tool for the processing of free-text information in all sources. This natural language processing tool supported multiple functionalities, especially the construction of time plots for individual postmarket reports and groups of reports. Overall, we received positive comments from the SEs during the InfoViP prototype evaluation and addressed their suggestions in the final version. CONCLUSIONS: The InfoViP system uses context-driven interactive visualizations and informatics tools to assist FDA SEs in synthesizing data from multiple sources for their case series analyses.",2020,Sep,Drug Saf,43,9,905-915,32445187,10.1007/s40264-020-00945-0,,#3874,Spiker 2020,Exclusion reason: Lack of Machine Learning; ,Awaiting classification
Designing and evaluating an automated system for real-time medication administration error detection in a neonatal intensive care unit,"Ni, Y. Z.; Lingren, T.; Hall, E. S.; Leonard, M.; Melton, K.; Kirkendall, E. S.","Background: Timely identification of medication administration errors (MAEs) promises great benefits for mitigating medication errors and associated harm. Despite previous efforts utilizing computerized methods to monitor medication errors, sustaining effective and accurate detection of MAEs remains challenging. In this study, we developed a real-time MAE detection system and evaluated its performance prior to system integration into institutional workflows. Methods: Our prospective observational study included automated MAE detection of 10 high-risk medications and fluids for patients admitted to the neonatal intensive care unit at Cincinnati Children's Hospital Medical Center during a 4-month period. The automated system extracted real-time medication use information from the institutional electronic health records and identified MAEs using logic-based rules and natural language processing techniques. The MAE summary was delivered via a real-time messaging platform to promote reduction of patient exposure to potential harm. System performance was validated using a physician-generated gold standard of MAE events, and results were compared with those of current practice (incident reporting and trigger tools). Results: Physicians identified 116 MAEs from 10 104 medication administrations during the study period. Compared to current practice, the sensitivity with automated MAE detection was improved significantly from 4.3% to 85.3% (P=.009), with a positive predictive value of 78.0%. Furthermore, the system showed potential to reduce patient exposure to harm, from 256 min to 35 min (P<.001). Conclusions: The automated system demonstrated improved capacity for identifying MAEs while guarding against alert fatigue. It also showed promise for reducing patient exposure to potential harm following MAE events.",2018,May,Journal of the American Medical Informatics Association,25,5,555-563,WOS:000434113200013,10.1093/jamia/ocx156,,#2062,Ni 2018,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
The effects of adverse drug reactions on patients' satisfaction: Evidence from publicly available data on Tamiflu (oseltamivir),"Antipov, E. A.; Pokryshevskaya, E. B.","BACKGROUND: Despite the fact that user-generated data are widely used in medical informatics in general and for revealing side-effects of various pharmaceuticals in particular, recent studies have focused merely on methods of extracting information on side effects from unstructured or semi-structured reviews of specific medications without linking side effects to any outcomes. OBJECTIVES: In this study we demonstrate how user-generated online content on side effects experienced by patients while taking a pharmaceutical product can be used to do research after the drug has been introduced to the market, thus allowing to complement the results of official clinical studies and market research. In particular, we concentrate on revealing the contribution of various side effects to reported customer satisfaction with Tamiflu, a popular antiviral drug. METHODS: Publicly available data from an online platform with reviews from patients are used as an input to the analysis that applies statistical and machine learning methods (multivariate logit models and classification trees) to investigate the relationships of side effects to demographic characteristics and to the overall satisfaction with the medication. RESULTS: We prioritized side effects of Tamiflu based on the significance of their association with patient's ratings published at one of the well-known drug discussion forums. Among all types of side effects used in our study, the neuropsychiatric symptoms and body pain are the most influential, followed by skin problems. Specific combinations of side-effects that are associated with low satisfaction were detected. CONCLUSION: The proposed analytical approach can help pharmaceutical companies to improve their products and/or medical guidelines associated with their products and figure out fighting which adverse effects should be given a priority from the customer satisfaction perspective.",2019,May,Int J Med Inform,125,,30-36,30914178,10.1016/j.ijmedinf.2019.02.005,,#2627,Antipov 2019,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Predicting Polypharmacy Side-effects Using Knowledge Graph Embeddings,"Nováček, V.; Mohamed, S. K.","Polypharmacy is the use of drug combinations and is commonly used for treating complex and terminal diseases. Despite its effectiveness in many cases, it poses high risks of adverse side effects. Polypharmacy side-effects occur due to unwanted interactions of combined drugs, and they can cause severe complications to patients which results in increasing the risks of morbidity and leading to new mortalities. The use of drug polypharmacy is currently in its early stages; thus, the knowledge of their probable side-effects is limited. This encouraged multiple works to investigate machine learning techniques to efficiently and reliably predict adverse effects of drug combinations. In this context, the Decagon model is known to provide state-of-the-art results. It models polypharmacy side-effect data as a knowledge graph and formulates finding possible adverse effects as a link prediction task over the knowledge graph. The link prediction is solved using an embedding model based on graph convolutions. Despite its effectiveness, the Decagon approach still suffers from a high rate of false positives. In this work, we propose a new knowledge graph embedding technique that uses multi-part embedding vectors to predict polypharmacy side-effects. Like in the Decagon model, we model polypharmacy side effects as a knowledge graph. However, we perform the link prediction task using an approach based on tensor decomposition. Our experimental evaluation shows that our approach outperforms the Decagon model with 12% and 16% margins in terms of the area under the ROC and precision recall curves, respectively.",2020,,AMIA Jt Summits Transl Sci Proc,2020,,449-458,32477666,,,#5715,Nováček 2020,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Descriptive prediction of drug side-effects using a hybrid deep learning model,"Lee, C. Y.; Chen, Y. P. P.","In this study, we developed a hybrid deep learning (DL) model, which is one of the first interpretable hybrid DL models with Inception modules, to give a descriptive prediction of drug side-effects. The model consists of a graph convolutional neural network (GCNN) with Inception modules to allow more efficient learning of drug molecular features and bidirectional long short-term memory (BiLSTM) recurrent neural networks to associate drug structure with its associated side effects. The outputs from the two networks (GCNN and BiLSTM) are then concatenated and a fully connected network is used to predict the side effects of drugs. Our model achieves an AUC score of 0.846 irrespective of what classification threshold is chosen. It has a precision score of 0.925 and the Bilingual Evaluation Understudy (BLEU) scores obtained were 0.973, 0.938, 0.927, and 0.318 which show significant achievements despite the fact that a small drug data set is used for adverse drug reaction (ADR) prediction. Moreover, the model is capable of accurately structuring correct words to describe drug side-effects and associates them with its drug name and molecular structure. The predicted drug structure and ADR relation will provide a reference for preclinical safety pharmacology studies and facilitate the identification of ADRs during early phases of drug development. It can also help detect unknown ADRs embedded in existing drugs, hence contributing significantly to the science of pharmacovigilance.",2021,Jun,International Journal of Intelligent Systems,36,6,2491-2510,WOS:000623248800001,10.1002/int.22389,,#2038,Lee 2021,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Determining molecular predictors of adverse drug reactions with causality analysis based on structure learning,"Liu, M.; Cai, R.; Hu, Y.; Matheny, M. E.; Sun, J.; Hu, J.; Xu, H.","OBJECTIVE: Adverse drug reaction (ADR) can have dire consequences. However, our current understanding of the causes of drug-induced toxicity is still limited. Hence it is of paramount importance to determine molecular factors of adverse drug responses so that safer therapies can be designed. METHODS: We propose a causality analysis model based on structure learning (CASTLE) for identifying factors that contribute significantly to ADRs from an integration of chemical and biological properties of drugs. This study aims to address two major limitations of the existing ADR prediction studies. First, ADR prediction is mostly performed by assessing the correlations between the input features and ADRs, and the identified associations may not indicate causal relations. Second, most predictive models lack biological interpretability. RESULTS: CASTLE was evaluated in terms of prediction accuracy on 12 organ-specific ADRs using 830 approved drugs. The prediction was carried out by first extracting causal features with structure learning and then applying them to a support vector machine (SVM) for classification. Through rigorous experimental analyses, we observed significant increases in both macro and micro F1 scores compared with the traditional SVM classifier, from 0.88 to 0.89 and 0.74 to 0.81, respectively. Most importantly, identified links between the biological factors and organ-specific drug toxicities were partially supported by evidence in Online Mendelian Inheritance in Man. CONCLUSIONS: The proposed CASTLE model not only performed better in prediction than the baseline SVM but also produced more interpretable results (ie, biological factors responsible for ADRs), which is critical to discovering molecular activators of ADRs.",2014,Mar-Apr,J Am Med Inform Assoc,21,2,245-251,24334612,10.1136/amiajnl-2013-002051,,#2127,Liu 2014,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Leveraging Digital Data to Inform and Improve Quality Cancer Care,"Hernandez-Boussard, T.; Blayney, D. W.; Brooks, J. D.","BACKGROUND: Efficient capture of routine clinical care and patient outcomes is needed at a population-level, as is evidence on important treatment-related side effects and their effect on well-being and clinical outcomes. The increasing availability of electronic health records (EHR) offers new opportunities to generate population-level patient-centered evidence on oncologic care that can better guide treatment decisions and patient-valued care. METHODS: This study includes patients seeking care at an academic medical center, 2008 to 2018. Digital data sources are combined to address missingness, inaccuracy, and noise common to EHR data. Clinical concepts were identified and extracted from EHR unstructured data using natural language processing (NLP) and machine/deep learning techniques. All models are trained, tested, and validated on independent data samples using standard metrics. RESULTS: We provide use cases for using EHR data to assess guideline adherence and quality measurements among patients with cancer. Pretreatment assessment was evaluated by guideline adherence and quality metrics for cancer staging metrics. Our studies in perioperative quality focused on medications administered and guideline adherence. Patient outcomes included treatment-related side effects and patient-reported outcomes. CONCLUSIONS: Advanced technologies applied to EHRs present opportunities to advance population-level quality assessment, to learn from routinely collected clinical data for personalized treatment guidelines, and to augment epidemiologic and population health studies. The effective use of digital data can inform patient-valued care, quality initiatives, and policy guidelines. IMPACT: A comprehensive set of health data analyzed with advanced technologies results in a unique resource that facilitates wide-ranging, innovative, and impactful research on prostate cancer. This work demonstrates new ways to use the EHRs and technology to advance epidemiologic studies and benefit oncologic care.See all articles in this CEBP Focus section, ""Modernizing Population Science.""",2020,Apr,Cancer Epidemiol Biomarkers Prev,29,4,816-822,32066619,10.1158/1055-9965.Epi-19-0873,,#4173,Hernandez-Boussard 2020,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Mining e-cigarette adverse events in social media using Bi-LSTM recurrent neural network with word embedding representation,"Xie, J.; Liu, X.; Zeng, D. D.","Objective: Recent years have seen increased worldwide popularity of e-cigarette use. However, the risks of e-cigarettes are underexamined. Most e-cigarette adverse event studies have achieved low detection rates due to limited subject sample sizes in the experiments and surveys. Social media provides a large data repository of consumers' e-cigarette feedback and experiences, which are useful for e-cigarette safety surveillance. However, it is difficult to automatically interpret the informal and nontechnical consumer vocabulary about e-cigarettes in social media. This issue hinders the use of social media content for e-cigarette safety surveillance. Recent developments in deep neural network methods have shown promise for named entity extraction from noisy text. Motivated by these observations, we aimed to design a deep neural network approach to extract e-cigarette safety information in social media. Methods: Our deep neural language model utilizes word embedding as the representation of text input and recognizes named entity types with the state-of-the-art Bidirectional Long Short-Term Memory (Bi-LSTM) Recurrent Neural Network. Results: Our Bi-LSTM model achieved the best performance compared to 3 baseline models, with a precision of 94.10%, a recall of 91.80%, and an F-measure of 92.94%. We identified 1591 unique adverse events and 9930 unique e-cigarette components (ie, chemicals, flavors, and devices) from our research testbed. Conclusion: Although the conditional random field baseline model had slightly better precision than our approach, our Bi-LSTM model achieved much higher recall, resulting in the best F-measure. Our method can be generalized to extract medical concepts from social media for other medical applications.",2018,,Journal of the American Medical Informatics Association,25,1,72-80,,10.1093/jamia/ocx045,,#4601,Xie 2018,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Understanding side effects of antidepressants: Large-scale longitudinal study on social media data,"Saha, K.; Torous, J.; Kiciman, E.; De Choudhury, M.","Background: Antidepressants are known to show heterogeneous effects across individuals and conditions, posing challenges to understanding their efficacy in mental health treatment. Social media platforms enable individuals to share their day-to-day concerns with others and thereby can function as unobtrusive, large-scale, and naturalistic data sources to study the longitudinal behavior of individuals taking antidepressants. Objective: We aim to understand the side effects of antidepressants from naturalistic expressions of individuals on social media. Methods: On a large-scale Twitter data set of individuals who self-reported using antidepressants, a quasi-experimental study using unsupervised language analysis was conducted to extract keywords that distinguish individuals who improved and who did not improve following the use of antidepressants. The net data set consists of over 8 million Twitter posts made by over 300,000 users in a 4-year period between January 1, 2014, and February 15, 2018. Results: Five major side effects of antidepressants were studied: Sleep, weight, eating, pain, and sexual issues. Social media language revealed keywords related to these side effects. In particular, antidepressants were found to show a spectrum of effects from decrease to increase in each of these side effects. Conclusions: This work enhances the understanding of the side effects of antidepressants by identifying distinct linguistic markers in the longitudinal social media data of individuals showing the most and least improvement following the self-reported intake of antidepressants. One implication of this work concerns the potential of social media data as an effective means to support digital pharmacovigilance and digital therapeutics. These results can inform clinicians in tailoring their discussion and assessment of side effects and inform patients about what to potentially expect and what may or may not be within the realm of normal aftereffects of antidepressants.",2021,,JMIR Mental Health,8,3,,,10.2196/26589,,#7439,Saha 2021,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
Comparison of adverse event and device problem rates for transcatheter aortic valve replacement and Mitraclip procedures as reported by the Transcatheter Valve Therapy Registry and the Food and Drug Administration postmarket surveillance data,"Galper, B. Z.; Beery, D. E.; Leighton, G.; Englander, L. L.","BACKGROUND: Although outcomes data on transcatheter aortic valve replacement (TAVR) and transcatheter mitral valve repair (Mitraclip) are available via the Transcatheter Valve Therapy (TVT) registry, dissemination of TVT data is often delayed. The Food and Drug Administration's Manufacturer and User Facility Device Experience (MAUDE) system collects postmarket outcomes data in public medical device reports. We used natural language processing to compare the event rates for TAVR and Mitraclip in the TVT registry and from MAUDE data. METHODS: We identified all medical device reports related to TAVR and Mitraclip from December 2011 through December 2014. Our primary objective was to demonstrate that event rates in TVT and MAUDE were not significantly different. We also compared TVT event rates for TAVRs performed in 2014 to MAUDE-derived event rates for the Sapien XT and CoreValve devices, both Food and Drug Administration-approved in 2014. RESULTS: Regression analysis demonstrated close correlation between TVT and MAUDE rates for both TAVR and Mitraclip, with R(2) values of 0.86 and 0.77, respectively. The rates for all events except bleeding were not statistically significantly different. We demonstrated similar increased rates of permanent pacemaker implantation in the 2014 TVT and MAUDE data sets consistent with approval of the CoreValve. CONCLUSIONS: We demonstrated that natural language processing technology sorted through raw MAUDE data, allowing identification of the most common events associated with TAVR and Mitraclip procedures, and that MAUDE-derived event rates were not statistically significantly different from TVT event rates. This technology has important public health implications because it improves postmarket surveillance of implantable devices and permits rapid and early dissemination of vital information.",2018,Apr,Am Heart J,198,,64-74,29653650,10.1016/j.ahj.2017.10.013,,#1306,Galper 2018,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,Awaiting classification
AI-based QSAR modeling for prediction of active compounds in MIE/AOP,"Uesawa, Y.","Toxicity testing is critical for new drug and chemical development process. A clinical study, experimental animal models, and in vitro study are performed to evaluate the safety of a new drug. The limitations of these methods include extensive time for toxicity testing, an ethical problem, and high costs of experimentation. Therefore computational methods are considered useful for estimating chemical toxicity. In silico toxicity prediction is one of the toxicity assessments that uses computational methods to predict and stimulate the toxicity of chemicals. In silico study aims to contribute to ešective development of new drug and chemical design. In this study, quantitative structure-activity relationship (QSAR) models will be used to predict toxicities based on chemical structural parameters. Because toxicities are complicated physiological phenomena, a similar toxicity expression might cause a dišerent pathway. Also, since many drugs with unknown mechanisms of actions are available, the application of artificial intelligence (AI)-which uses sophisticated algorithms? is increasingly used to predict toxicities. Recently, the QSAR model was applied to determine complex relations between chemical structures and toxicities. However, accuracy of QSAR for toxicity prediction remains an important issue. International competitions funded by public institutions can address this issue. Two important toxicity challenges were organized in the past decade; this article presents issues of toxicity based on these challenges.",2020,,Yakugaku Zasshi,140,4,499-505,,10.1248/yakushi.19-00190-4,,#242,Uesawa 2020,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,""
AllerTOP - a server for in silico prediction of allergens,"Dimitrov, I.; Flower, D. R.; Doytchinova, I.","Background: Allergy is a form of hypersensitivity to normally innocuous substances, such as dust, pollen, foods or drugs. Allergens are small antigens that commonly provoke an IgE antibody response. There are two types of bioinformatics-based allergen prediction. The first approach follows FAO/WHO Codex alimentarius guidelines and searches for sequence similarity. The second approach is based on identifying conserved allergenicity-related linear motifs. Both approaches assume that allergenicity is a linearly coded property. In the present study, we applied ACC pre-processing to sets of known allergens, developing alignment-independent models for allergen recognition based on the main chemical properties of amino acid sequences. Results: A set of 684 food, 1,156 inhalant and 555 toxin allergens was collected from several databases. A set of non-allergens from the same species were selected to mirror the allergen set. The amino acids in the protein sequences were described by three z-descriptors (z(1), z(2) and z(3)) and by auto-and cross-covariance (ACC) transformation were converted into uniform vectors. Each protein was presented as a vector of 45 variables. Five machine learning methods for classification were applied in the study to derive models for allergen prediction. The methods were: discriminant analysis by partial least squares (DA-PLS), logistic regression (LR), decision tree (DT), naive Bayes (NB) and k nearest neighbours (kNN). The best performing model was derived by kNN at k = 3. It was optimized, cross-validated and implemented in a server named AllerTOP, freely accessible at http://www.pharmfac.net/allertop. AllerTOP also predicts the most probable route of exposure. In comparison to other servers for allergen prediction, AllerTOP outperforms them with 94% sensitivity. Conclusions: AllerTOP is the first alignment-free server for in silico prediction of allergens based on the main physicochemical properties of proteins. Significantly, as well allergenicity AllerTOP is able to predict the route of allergen exposure: food, inhalant or toxin.",2013,Apr,BMC Bioinformatics,14,,9,WOS:000318868300004,10.1186/1471-2105-14-s6-s4,,#257,Dimitrov 2013,Exclusion reason: Lack of Pharmacovigilance/Drug Safety; ,""
